Epoch,Train_F1@5,Test_F1@5,Train_Precision@5,Test_Precision@5,Train_Recall@5,Test_Recall@5,Training_Time
25,0.022112293199417175,0.0528312728965823,0.8410535117056857,0.5738573021181717,0.011346976331052815,0.028785469667514826,7060.036413431168
50,0.02219607905929617,0.05346690296454672,0.842056856187291,0.5795707915273133,0.011389915999997655,0.02916851798545092,7060.036413431168
75,0.0222105971527004,0.053674731094664786,0.8427257525083611,0.5800167224080268,0.011394885760281812,0.029278674720974014,7060.036413431168
100,0.022261556838919647,0.05384295428706515,0.8437290969899666,0.581298773690078,0.011423258573849394,0.029374406873686594,7060.036413431168
125,0.022281100450760972,0.05408588115392724,0.8447881828316612,0.5838071348940914,0.011431454276862324,0.029506571806911745,7060.036413431168
150,0.022257641193168698,0.0538443196481936,0.8434782608695652,0.5822742474916389,0.011421302374259397,0.029368872590553055,7060.036413431168
175,0.022214053609982274,0.0539189675293435,0.8431716833890748,0.5834169453734671,0.011398297446522963,0.029407425925146835,7060.036413431168
200,0.02223300792954486,0.053720606887399464,0.8429487179487181,0.5814659977703457,0.0114081144580761,0.02929703135340489,7060.036413431168
